CH1,CH2,class
200,54,3
223,79,3
88,42,3
16,13,0
227,67,3
24,49,2
20,48,2
152,86,3
27,45,2
38,44,2
6,3,0
5,3,0
16,14,0
149,52,3
24,48,2
25,57,2
17,42,2
111,54,3
72,37,3
76,16,1
43,15,1
62,24,1
74,24,1
61,22,1
74,20,1
85,39,3
125,50,3
64,38,3
22,40,2
111,61,3
45,20,1
61,22,1
72,21,1
95,60,3
45,20,1
97,41,3
86,36,3
72,21,1
109,26,1
43,15,1
55,15,1
129,78,3
6,3,0
65,29,3
29,47,2
64,38,3
49,16,1
65,29,3
16,13,0
31,49,2
65,17,1
28,35,2
97,41,3
190,19,1
85,39,3
86,36,3
28,48,2
34,38,2
20,16,0
124,33,3
27,45,2
36,78,2
74,24,1
89,38,3
172,20,1
124,33,3
27,44,2
38,44,2
21,37,2
25,54,2
88,42,3
75,14,1
120,16,1
62,24,1
149,52,3
18,40,2
28,35,2
89,38,3
16,13,0
17,39,2
20,44,2
69,59,3
142,17,1
31,13,1
72,37,3
65,17,1
107,19,1
108,47,3
31,13,1
24,50,2
15,35,2
24,63,2
55,15,1
20,15,0
5,3,0
5,3,0
23,17,0
28,48,2
6,3,0
5,3,0
24,49,2
24,17,0
22,16,0
20,48,2
24,48,2
31,49,2
22,16,0
5,3,0
5,3,0
16,13,0
109,26,1
29,47,2
